channel,small_bytes,rtt_med_ns,rtt_min_ns,big_bytes,throughput_MBps,cores,cpus
tcp,64,16400.0,13400.0,65536,1299.3,1.080,1
uds,64,10100.0,8901.0,65536,1603.4,1.084,1
pipe,64,6800.0,5300.0,65536,1516.6,1.122,1
shm,64,7998135.0,7711034.0,65536,8.2,1.000,1
tcp,64,107100.0,68601.0,65536,395.4,0.939,2
uds,64,77300.0,10700.0,65536,557.8,0.999,2
pipe,64,86001.0,49400.0,65536,474.6,0.856,2
shm,64,400.0,300.0,65536,3310.9,1.370,2
tcp,64,103600.0,63400.0,65536,427.8,0.935,4
uds,64,77701.0,13000.0,65536,444.6,0.997,4
pipe,64,81300.0,52500.0,65536,516.7,0.888,4
shm,64,300.0,200.0,65536,3318.6,2.118,4
tcp,64,105801.0,70800.0,65536,386.7,0.947,12
uds,64,79500.0,9100.0,65536,500.1,1.003,12
pipe,64,83901.0,19300.0,65536,456.1,0.885,12
shm,64,400.0,200.0,65536,3104.2,2.122,12
